codigo_barra,nombre,categoria,ubicacion,precio_venta,unidad_medida,stock_actual,stock_minimo,tiene_codigo_barra
,CEMENTO GRIS FORTALEZA TIPO GU 42.5 KG,Construcción,Área abierta / patio de materiales,8.7,Saco,35,10,0
CEME-00001,CEMENTO PORTLAND FUERTE GRIS HOLCIM 42.5 KG,Construcción,Área abierta / patio de materiales,9.59,Saco,25,10,1
VHCO-00002,HIERRO REDONDO CORRUGADO 3/8 PLG,Construcción,Área abierta / patio de materiales,3.5,Varilla,80,20,1
VHL-00001,HIERRO REDONDO LISO 1/4 PLG,Construcción,Área abierta / patio de materiales,1.23,Varilla,100,30,1
007810,LÁMINA DURAZINC C-26 5.00MT,Construcción,Área abierta / patio de materiales,24.75,Unidad,15,5,1
070822,POLÍN C4 GALVANIZADO 1.50MM,Construcción,Área abierta / patio de materiales,19.0,Unidad,12,5,1
TGAL-00031,TUBO GALVANIZADO CUADRADO 4PLGX1.50MM,Construcción,Área abierta / patio de materiales,39.75,Unidad,8,3,1
,ARENA,Construcción,Área abierta / patio de materiales,22.0,Metro³,10,3,0
,GRAVA,Construcción,Área abierta / patio de materiales,24.0,Metro³,9,3,0
,BLOCK DE CONCRETO,Construcción,Área abierta / patio de materiales,0.65,Unidad,650,150,0
,CUARTÓN DE MADERA,Carpintería,Área abierta / patio de materiales,5.5,Unidad,40,10,0
,REGLA DE MADERA,Carpintería,Área abierta / patio de materiales,3.75,Unidad,55,15,0
3600832,UNIÓN PVC LISA 1/2,Fontanería,Mostrador / sala de ventas,0.12,Unidad,200,50,1
0409263,LLAVE CHORRO DE PALANCA 1/2 FOSSET,Fontanería,Mostrador / sala de ventas,2.62,Unidad,20,5,1
2000831,LLAVE CHORRO PP 1/2,Fontanería,Mostrador / sala de ventas,7.02,Unidad,10,4,1
1500295,PEGAMENTO PVC TANGIT TODA PRESIÓN 25 ML HENKEL,Fontanería,Mostrador / sala de ventas,2.25,Unidad,22,6,1
080055,MASTER BOND #7045 PVC TUBO 25GR,Fontanería,Mostrador / sala de ventas,0.96,Unidad,30,8,1
